Word,Freq_NoWaC,Freq_CDS
203,'eye',100999.0,31.0
204,'tit',7496.0,2.0
205,'buttocks/bottom',9979.0,9.0
206,'back',39556.0,11.0
207,'shoulder',15013.0,2.0
208,'teeth',15536.0,14.0
209,'willie',1410.0,1.0
210,'tongue',12814.0,2.0
211,'toe',7497.0,18.0
212,'picture',450532.0,57.0
213,'box',26669.0,16.0
214,'brush',667.0,2.0
215,'bucket',5175.0,18.0
216,'tray',6842.0,4.0
217,'glasses',5988.0,8.0
218,'toilet paper',553.0,5.0
219,'duvet',3617.0,3.0
220,'box',6027.0,8.0
221,'(large) plate',,
222,'bottle',18779.0,9.0
223,'drink',13625.0,27.0
224,'toy car',3.0,1.0
225,'fork',1296.0,4.0
226,'glass',23884.0,2.0
227,'hammer',1726.0,6.0
228,'towel',2908.0,13.0
229,'comb',3526.0,4.0
230,'camera',104401.0,5.0
231,'box',17380.0,8.0
232,'roll of paper towels',9.0,1.0
233,'clock',82457.0,21.0
234,'knife',10132.0,1.0
235,'cup',8944.0,21.0
236,'broom',16399.0,4.0
237,'jar',1312.0,1.0
238,'cup',870.0,1.0
239,'lamp',4685.0,3.0
240,'wallet',7743.0,1.0
241,'light',74510.0,13.0
242,'medicine',33309.0,1.0
243,'keys',12675.0,6.0
244,'paper',24874.0,13.0
245,'money',211410.0,6.0
246,'plant',20413.0,2.0
247,'pillow',5131.0,3.0
248,'radio',22688.0,1.0
249,'scissors',1961.0,3.0
250,'soap',2991.0,5.0
251,'bag',11416.0,3.0
252,'napkin',769.0,2.0
253,'bowl',2121.0,1.0
254,'spoon',5034.0,36.0
255,'rubbish',8093.0,6.0
256,'rubbish bin',519.0,1.0
257,'vacuum cleaner',1203.0,8.0
258,'plate',2631.0,4.0
259,'toothbrush',972.0,8.0
260,'telephone',91612.0,20.0
261,'blanket/carpet',8255.0,3.0
262,'bag',7606.0,13.0
263,'bathroom',18277.0,9.0
264,'bathtub',2807.0,2.0
265,'balcony',3835.0,2.0
266,'cot',146.0,1.0
267,'high chair',308.0,1.0
268,'table',35222.0,43.0
269,'toilet',32705.0,32.0
270,'door',55036.0,26.0
271,'shower',10612.0,3.0
272,'garage',6483.0,7.0
273,'rocking chair',188.0,1.0
274,'basement',11422.0,6.0
275,'kitchen',21854.0,17.0
276,'refrigerator',7337.0,14.0
277,'stove',1449.0,4.0
278,'play pen',602.0,2.0
279,'oven',7130.0,5.0
280,'computer',41778.0,1.0
281,'potty',1184.0,3.0
282,'room',87748.0,16.0
283,'bed',32461.0,47.0
284,'closet',11310.0,19.0
285,'drawer',1146.0,6.0
286,'couch',14687.0,5.0
287,'bedroom',11370.0,1.0
288,'chair',17754.0,40.0
289,'living room',19733.0,8.0
290,'terrace',4770.0,1.0
291,'dryer',767.0,4.0
